id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
71825,"River Room, Bellingen Treehouse",369209,Kirsty,,Bellingen,-30.36878,152.88389,Private room,323,2,295,2022-10-14,2.30,2,126,34,PID-STRA-6155
264985,Smiths Lake House Studio style*privacy*water views,1390233,Rob & Marzena,,Mid-Coast,-32.37488,152.49509,Entire home/apt,119,2,560,2022-06-13,4.21,2,1,35,PID-STRA-4066
267797,Smiths Lake House Pavilion style*privacy*lakefront,1390233,Rob & Marzena,,Mid-Coast,-32.37633,152.49448,Entire home/apt,139,2,522,2022-06-26,3.91,2,1,39,PID-STRA-4066
311983,Self contained unit in small comple,1532686,Melita,,Mid-Coast,-32.06717,152.53636,Entire home/apt,150,90,0,,,1,180,0,
325891,Kiwarrak Country Retreat-The Arbour,1666893,Tara And Meg,,Mid-Coast,-31.96709,152.50813,Entire home/apt,193,2,109,2022-10-06,0.93,2,285,9,PID-STRA-9140-2
325913,Kiwarrak Country Retreat -The Bower,1666893,Tara And Meg,,Mid-Coast,-31.96946,152.50668,Entire home/apt,183,2,173,2022-10-29,1.61,2,320,30,PID-STRA-9140-2
428117,RIVERHOME Pt Macquarie Sunset room,2127941,Jennifer,,Port Macquarie-Hastings,-31.40705,152.86007,Private room,140,1,56,2022-01-20,0.49,3,276,1,PID-STRA-1479-1
448102,Balinese Inspired Tree House in Port Stephens,2225542,Adrienne,,Mid-Coast,-32.67631,152.03821,Entire home/apt,499,2,62,2022-04-10,0.71,2,256,10,PID-STRA-18238
502508,"Private, separate, ground floor rooms.",2479893,Peter And Ksenia,,Nambucca Valley,-30.63928,153.007,Entire home/apt,84,1,922,2022-10-20,7.49,1,47,108,PID-STRA-3614
534462,Tree Tops Scott’s Head sleeps 8 & 100m to beach.,2626160,Nick,,Nambucca Valley,-30.74711,152.9948,Entire home/apt,229,2,208,2022-10-30,1.77,1,277,39,PID-STRA-20136
737655,Lakeview Cottage,359599,Ken,,Mid-Coast,-32.24756,152.51427,Entire home/apt,240,2,98,2022-11-01,0.83,12,283,22,PID-STRA-12211
738621,Lakeview Lodge,359599,Ken,,Mid-Coast,-32.24733,152.51341,Entire home/apt,259,2,76,2022-10-30,0.71,12,310,15,PID-STRA-13169
756889,"""Mansfield"" Cottage Barrington",3985086,Jill,,Mid-Coast,-32.008526,151.900818,Entire home/apt,151,2,43,2022-10-06,0.36,3,265,9,PID-STRA-6665
756989,Mansfield by the Lake Forster B&B Just For 1 or 2,3985086,Jill,,Mid-Coast,-32.24822,152.51407,Private room,90,1,41,2020-03-24,0.35,3,277,0,PID-STRA-10442
759197,Bemurrah Homestead,4001699,Carolyn,,Kempsey,-30.80915,152.4405,Entire home/apt,420,2,16,2022-09-18,0.17,1,322,7,PID-STRA-9513
767030,Bellingen Self-contained Apartment,4020173,Rae,,Bellingen,-30.44016,152.89578,Entire home/apt,120,2,242,2022-10-23,2.00,1,97,28,PID-STRA-8455
832837,Topi Gums Bush Retreat...relax in nature.,4359135,Philip & Yolanda,,Mid-Coast,-32.3765,152.38723,Entire home/apt,406,3,47,2022-10-19,0.66,1,278,13,PID-STRA-12241
844602,Hang 10 Waterfront & Kayaks,4409293,Sharon,,Mid-Coast,-32.38607,152.50002,Entire home/apt,800,2,15,2021-01-23,0.13,1,101,0,PID-STRA-12153
871019,Great house in bushland near beach,4590054,David,,Bellingen,-30.54258,153.01479,Private room,75,1,449,2022-10-25,3.76,1,58,61,Exempt
877862,Mulberry Cottage - 2 mins walk to town,4638933,Shani & Steve,,Bellingen,-30.45291,152.89297,Entire home/apt,150,2,330,2022-09-30,2.82,1,329,21,PID-STRA-6314-2
890813,Secluded Rustic Eco Cabin Getaway,4731330,Judy,,Coffs Harbour,-30.14909,152.84119,Entire home/apt,120,3,80,2022-09-21,0.68,1,335,2,Exempt
909050,The Kabana Luxury Villa @ Urunga,4873960,Vicki And John,,Bellingen,-30.47733,153.0012,Entire home/apt,176,2,123,2022-10-15,1.05,1,291,17,PID-STRA-2491
915248,Jacaranda Beach House Smiths Lake,4759979,Gerard,,Mid-Coast,-32.37665,152.51319,Entire home/apt,271,2,159,2022-10-31,1.36,1,285,28,PID-STRA-3488
915460,Mullaway On The Beach - luxury beach cabin,4912006,Peter And Lynn,,Coffs Harbour,-30.07868,153.20129,Entire home/apt,260,2,581,2022-10-29,5.07,1,285,66,PID-STRA-12816
931662,Coffs Harbour sanctuary with piano,4581245,Robyn And Peter,,Coffs Harbour,-30.29831,153.1237,Entire home/apt,197,2,15,2022-10-20,0.25,1,164,6,PID-STRA-25655
